Order_ID,Order_Date,Customer_ID,Product_ID,Salesperson_ID,Region_ID,Units_Sold,Unit_Price,Cost_Price,Revenue,Profit,Region_Name,Country,Year,Order_Year,Product_Name,Profit_Unit,Day,Month_Name
10019,2025-01-09,712,3,4,3,14,474,325,6636,2086,East,INDIA,2025,2025,Tablet,149.0,Thursday,January
10020,2023-05-30,447,6,6,4,8,489,283,3912,1648,West,GERMANY,2023,2023,Printer,206.0,Tuesday,May
10021,2025-05-04,908,1,18,1,5,1318,1134,6590,920,North,USA,2025,2025,Laptop,184.0,Sunday,May
10022,2023-10-02,911,6,4,2,9,489,344,4401,1305,South,GERMANY,2023,2023,Printer,145.0,Monday,October
10023,2023-07-15,675,4,2,1,14,1270,985,17780,3990,North,USA,2023,2023,Monitor,285.0,Saturday,July
10024,2024-09-25,59,6,4,2,4,489,342,1956,588,South,GERMANY,2024,2024,Printer,147.0,Wednesday,September
10025,2024-06-22,114,2,19,1,6,787,529,4722,1548,North,USA,2024,2024,Smartphone,258.0,Saturday,June
10026,2024-04-08,638,4,15,1,13,1270,1083,16510,2431,North,USA,2024,2024,Monitor,187.0,Monday,April
10027,2024-04-22,361,1,13,2,2,1318,1241,2636,154,South,GERMANY,2024,2024,Laptop,77.0,Monday,April
10028,2023-08-16,530,5,16,2,11,943,712,10373,2541,South,GERMANY,2023,2023,Headphones,231.0,Wednesday,August
10029,2023-05-21,557,1,11,1,14,1318,1111,18452,2898,North,USA,2023,2023,Laptop,207.0,Sunday,May
10030,2024-05-11,598,6,1,2,1,489,248,489,241,South,GERMANY,2024,2024,Printer,241.0,Saturday,May
10031,2024-02-06,59,3,19,1,15,474,231,7110,3645,North,USA,2024,2024,Tablet,243.0,Tuesday,February
10032,2024-07-29,101,5,16,4,6,943,717,5658,1356,West,GERMANY,2024,2024,Headphones,226.0,Monday,July
10033,2023-07-27,115,2,20,4,11,787,632,8657,1705,West,GERMANY,2023,2023,Smartphone,155.0,Thursday,July
10034,2023-12-05,529,3,19,2,13,474,215,6162,3367,South,GERMANY,2023,2023,Tablet,259.0,Tuesday,December
10035,2023-12-08,190,2,2,1,2,787,693,1574,188,North,USA,2023,2023,Smartphone,94.0,Friday,December
10036,2025-02-08,39,4,15,4,13,1270,1153,16510,1521,West,GERMANY,2025,2025,Monitor,117.0,Saturday,February
10037,2024-12-03,284,5,10,2,8,943,754,7544,1512,South,GERMANY,2024,2024,Headphones,189.0,Tuesday,December
10038,2024-02-20,86,2,1,4,13,787,536,10231,3263,West,GERMANY,2024,2024,Smartphone,251.0,Tuesday,February
10039,2024-03-23,675,1,3,4,14,1318,1222,18452,1344,West,GERMANY,2024,2024,Laptop,96.0,Saturday,March
10040,2024-04-04,228,5,19,1,8,943,790,7544,1224,North,USA,2024,2024,Headphones,153.0,Thursday,April
10041,2025-04-14,399,2,10,3,4,787,683,3148,416,East,INDIA,2025,2025,Smartphone,104.0,Monday,April
10042,2023-07-05,76,5,12,2,3,943,810,2829,399,South,GERMANY,2023,2023,Headphones,133.0,Wednesday,July
10043,2024-08-29,901,3,7,1,7,474,375,3318,693,North,USA,2024,2024,Tablet,99.0,Thursday,August
10044,2024-03-19,54,2,6,2,2,787,497,1574,580,South,GERMANY,2024,2024,Smartphone,290.0,Tuesday,March
10045,2025-01-22,245,4,17,4,4,1270,1125,5080,580,West,GERMANY,2025,2025,Monitor,145.0,Wednesday,January
10046,2024-03-14,534,3,6,3,8,474,301,3792,1384,East,INDIA,2024,2024,Tablet,173.0,Thursday,March
10047,2024-11-22,920,5,18,1,14,943,882,13202,854,North,USA,2024,2024,Headphones,61.0,Friday,November
10048,2024-04-27,131,1,1,1,2,1318,1153,2636,330,North,USA,2024,2024,Laptop,165.0,Saturday,April
10049,2024-10-21,546,5,7,4,11,943,830,10373,1243,West,GERMANY,2024,2024,Headphones,113.0,Monday,October
10050,2024-02-23,959,4,3,3,1,1270,1190,1270,80,East,INDIA,2024,2024,Monitor,80.0,Friday,February
10051,2025-01-14,4,3,19,1,2,474,318,948,312,North,USA,2025,2025,Tablet,156.0,Tuesday,January
10052,2023-05-14,47,5,18,2,12,943,659,11316,3408,South,GERMANY,2023,2023,Headphones,284.0,Sunday,May
10053,2023-07-17,448,5,3,2,11,943,851,10373,1012,South,GERMANY,2023,2023,Headphones,92.0,Monday,July
10054,2024-11-16,77,1,8,1,5,1318,1200,6590,590,North,USA,2024,2024,Laptop,118.0,Saturday,November
10055,2024-01-20,754,3,5,1,15,474,257,7110,3255,North,USA,2024,2024,Tablet,217.0,Saturday,January
10056,2023-06-18,547,5,2,2,15,943,881,14145,930,South,GERMANY,2023,2023,Headphones,62.0,Sunday,June
10057,2024-11-13,726,6,10,2,6,489,369,2934,720,South,GERMANY,2024,2024,Printer,120.0,Wednesday,November
10058,2023-12-02,463,2,5,3,3,787,630,2361,471,East,INDIA,2023,2023,Smartphone,157.0,Saturday,December
10059,2023-11-05,173,6,13,4,14,489,300,6846,2646,West,GERMANY,2023,2023,Printer,189.0,Sunday,November
10060,2023-12-04,800,1,17,2,13,1318,1192,17134,1638,South,GERMANY,2023,2023,Laptop,126.0,Monday,December
10061,2023-05-08,660,4,4,2,7,1270,984,8890,2002,South,GERMANY,2023,2023,Monitor,286.0,Monday,May
10062,2024-12-24,942,5,13,2,12,943,788,11316,1860,South,GERMANY,2024,2024,Headphones,155.0,Tuesday,December
10063,2023-07-09,767,2,7,3,6,787,627,4722,960,East,INDIA,2023,2023,Smartphone,160.0,Sunday,July
10064,2023-05-07,198,6,9,1,11,489,363,5379,1386,North,USA,2023,2023,Printer,126.0,Sunday,May
10065,2023-09-27,203,3,12,1,14,474,364,6636,1540,North,USA,2023,2023,Tablet,110.0,Wednesday,September
10066,2024-03-06,782,3,13,4,2,474,350,948,248,West,GERMANY,2024,2024,Tablet,124.0,Wednesday,March
10067,2024-09-26,378,2,3,2,15,787,622,11805,2475,South,GERMANY,2024,2024,Smartphone,165.0,Thursday,September
10068,2024-02-19,555,4,16,2,9,1270,984,11430,2574,South,GERMANY,2024,2024,Monitor,286.0,Monday,February
10069,2024-01-27,370,6,12,3,4,489,355,1956,536,East,INDIA,2024,2024,Printer,134.0,Saturday,January
10070,2024-04-23,804,1,8,3,4,1318,1114,5272,816,East,INDIA,2024,2024,Laptop,204.0,Tuesday,April
10071,2024-02-24,481,2,19,1,11,787,734,8657,583,North,USA,2024,2024,Smartphone,53.0,Saturday,February
10072,2024-10-27,822,4,12,1,14,1270,1162,17780,1512,North,USA,2024,2024,Monitor,108.0,Sunday,October
10073,2023-12-29,219,3,11,3,12,474,234,5688,2880,East,INDIA,2023,2023,Tablet,240.0,Friday,December
10074,2024-04-29,30,4,18,4,13,1270,1059,16510,2743,West,GERMANY,2024,2024,Monitor,211.0,Monday,April
10075,2024-02-18,102,1,4,2,15,1318,1121,19770,2955,South,GERMANY,2024,2024,Laptop,197.0,Sunday,February
10076,2024-03-27,692,1,4,4,14,1318,1245,18452,1022,West,GERMANY,2024,2024,Laptop,73.0,Wednesday,March
10077,2025-02-20,668,1,10,4,10,1318,1196,13180,1220,West,GERMANY,2025,2025,Laptop,122.0,Thursday,February
10078,2024-09-16,200,5,16,2,13,943,700,12259,3159,South,GERMANY,2024,2024,Headphones,243.0,Monday,September
10079,2025-02-22,771,4,1,3,4,1270,1097,5080,692,East,INDIA,2025,2025,Monitor,173.0,Saturday,February
10080,2024-12-24,69,1,14,2,4,1318,1236,5272,328,South,GERMANY,2024,2024,Laptop,82.0,Tuesday,December
10081,2025-02-15,303,3,16,1,10,474,196,4740,2780,North,USA,2025,2025,Tablet,278.0,Saturday,February
10082,2025-04-26,857,3,9,3,14,474,404,6636,980,East,INDIA,2025,2025,Tablet,70.0,Saturday,April
10083,2024-03-08,739,5,20,3,5,943,725,4715,1090,East,INDIA,2024,2024,Headphones,218.0,Friday,March
10084,2024-02-12,185,4,11,4,4,1270,1020,5080,1000,West,GERMANY,2024,2024,Monitor,250.0,Monday,February
10085,2024-12-06,85,5,9,2,12,943,699,11316,2928,South,GERMANY,2024,2024,Headphones,244.0,Friday,December
10086,2024-04-26,506,6,11,3,8,489,314,3912,1400,East,INDIA,2024,2024,Printer,175.0,Friday,April
10087,2025-03-22,72,3,3,2,10,474,208,4740,2660,South,GERMANY,2025,2025,Tablet,266.0,Saturday,March
10088,2023-10-03,191,1,12,3,11,1318,1087,14498,2541,East,INDIA,2023,2023,Laptop,231.0,Tuesday,October
10089,2024-11-20,853,2,15,2,11,787,541,8657,2706,South,GERMANY,2024,2024,Smartphone,246.0,Wednesday,November
10090,2023-08-23,984,1,12,1,12,1318,1107,15816,2532,North,USA,2023,2023,Laptop,211.0,Wednesday,August
10091,2024-08-05,560,1,19,4,15,1318,1076,19770,3630,West,GERMANY,2024,2024,Laptop,242.0,Monday,August
10092,2024-09-17,268,3,1,3,12,474,269,5688,2460,East,INDIA,2024,2024,Tablet,205.0,Tuesday,September
10093,2024-05-11,102,1,8,1,2,1318,1201,2636,234,North,USA,2024,2024,Laptop,117.0,Saturday,May
10094,2024-05-13,633,5,2,3,11,943,752,10373,2101,East,INDIA,2024,2024,Headphones,191.0,Monday,May
10095,2023-12-26,865,4,19,1,11,1270,1102,13970,1848,North,USA,2023,2023,Monitor,168.0,Tuesday,December
10096,2023-07-10,790,5,5,1,2,943,793,1886,300,North,USA,2023,2023,Headphones,150.0,Monday,July
10097,2024-12-20,149,6,7,3,4,489,412,1956,308,East,INDIA,2024,2024,Printer,77.0,Friday,December
10098,2023-06-21,737,6,9,3,1,489,393,489,96,East,INDIA,2023,2023,Printer,96.0,Wednesday,June
10099,2024-01-24,56,1,19,1,12,1318,1105,15816,2556,North,USA,2024,2024,Laptop,213.0,Wednesday,January
10100,2023-05-09,216,6,1,2,12,489,205,5868,3408,South,GERMANY,2023,2023,Printer,284.0,Tuesday,May
10101,2024-04-07,358,3,5,1,3,474,400,1422,222,North,USA,2024,2024,Tablet,74.0,Sunday,April
10102,2024-06-13,196,2,18,1,8,787,584,6296,1624,North,USA,2024,2024,Smartphone,203.0,Thursday,June
10103,2024-01-13,234,4,4,4,9,1270,1066,11430,1836,West,GERMANY,2024,2024,Monitor,204.0,Saturday,January
10104,2024-08-26,757,6,10,3,12,489,233,5868,3072,East,INDIA,2024,2024,Printer,256.0,Monday,August
10105,2023-05-23,417,2,9,1,15,787,678,11805,1635,North,USA,2023,2023,Smartphone,109.0,Tuesday,May
10106,2025-01-11,891,5,18,2,11,943,653,10373,3190,South,GERMANY,2025,2025,Headphones,290.0,Saturday,January
10107,2024-12-11,340,1,4,2,11,1318,1220,14498,1078,South,GERMANY,2024,2024,Laptop,98.0,Wednesday,December
10108,2025-01-18,700,6,1,3,1,489,438,489,51,East,INDIA,2025,2025,Printer,51.0,Saturday,January
10109,2024-11-21,198,3,15,4,15,474,373,7110,1515,West,GERMANY,2024,2024,Tablet,101.0,Thursday,November
10110,2023-09-01,942,3,15,1,8,474,331,3792,1144,North,USA,2023,2023,Tablet,143.0,Friday,September
10111,2023-11-10,269,4,6,3,2,1270,1083,2540,374,East,INDIA,2023,2023,Monitor,187.0,Friday,November
10112,2023-11-12,737,6,17,1,13,489,411,6357,1014,North,USA,2023,2023,Printer,78.0,Sunday,November
10113,2023-06-18,1,2,9,2,9,787,702,7083,765,South,GERMANY,2023,2023,Smartphone,85.0,Sunday,June
10114,2024-08-24,250,3,6,2,12,474,418,5688,672,South,GERMANY,2024,2024,Tablet,56.0,Saturday,August
10115,2025-01-04,130,6,15,2,15,489,324,7335,2475,South,GERMANY,2025,2025,Printer,165.0,Saturday,January
10116,2023-12-23,857,3,4,2,6,474,339,2844,810,South,GERMANY,2023,2023,Tablet,135.0,Saturday,December
10117,2025-03-29,932,4,15,4,12,1270,1169,15240,1212,West,GERMANY,2025,2025,Monitor,101.0,Saturday,March
10118,2025-03-14,363,5,6,4,12,943,684,11316,3108,West,GERMANY,2025,2025,Headphones,259.0,Friday,March
10119,2024-04-02,264,1,19,3,11,1318,1159,14498,1749,East,INDIA,2024,2024,Laptop,159.0,Tuesday,April
10120,2024-12-17,222,3,11,2,8,474,278,3792,1568,South,GERMANY,2024,2024,Tablet,196.0,Tuesday,December
10121,2024-11-02,915,4,15,3,3,1270,1156,3810,342,East,INDIA,2024,2024,Monitor,114.0,Saturday,November
10122,2023-09-28,596,6,1,1,6,489,304,2934,1110,North,USA,2023,2023,Printer,185.0,Thursday,September
10123,2023-08-06,618,3,15,3,13,474,351,6162,1599,East,INDIA,2023,2023,Tablet,123.0,Sunday,August
10124,2024-01-03,505,4,2,1,12,1270,1125,15240,1740,North,USA,2024,2024,Monitor,145.0,Wednesday,January
10125,2024-11-03,558,1,17,3,15,1318,1077,19770,3615,East,INDIA,2024,2024,Laptop,241.0,Sunday,November
10126,2024-05-17,487,2,15,1,9,787,532,7083,2295,North,USA,2024,2024,Smartphone,255.0,Friday,May
10127,2024-09-12,705,5,17,2,9,943,824,8487,1071,South,GERMANY,2024,2024,Headphones,119.0,Thursday,September
10128,2023-05-25,802,3,3,2,9,474,356,4266,1062,South,GERMANY,2023,2023,Tablet,118.0,Thursday,May
10129,2025-03-07,806,5,19,1,5,943,880,4715,315,North,USA,2025,2025,Headphones,63.0,Friday,March
10130,2024-03-26,922,5,10,3,11,943,823,10373,1320,East,INDIA,2024,2024,Headphones,120.0,Tuesday,March
10131,2025-02-15,309,4,6,4,3,1270,1187,3810,249,West,GERMANY,2025,2025,Monitor,83.0,Saturday,February
10132,2023-07-21,751,3,17,2,9,474,206,4266,2412,South,GERMANY,2023,2023,Tablet,268.0,Friday,July
10133,2025-02-15,658,1,7,2,2,1318,1108,2636,420,South,GERMANY,2025,2025,Laptop,210.0,Saturday,February
10134,2024-02-22,330,6,8,2,14,489,439,6846,700,South,GERMANY,2024,2024,Printer,50.0,Thursday,February
10135,2025-02-12,943,4,7,3,13,1270,1132,16510,1794,East,INDIA,2025,2025,Monitor,138.0,Wednesday,February
10136,2024-01-21,63,5,6,1,3,943,886,2829,171,North,USA,2024,2024,Headphones,57.0,Sunday,January
10137,2023-10-25,911,3,14,3,1,474,268,474,206,East,INDIA,2023,2023,Tablet,206.0,Wednesday,October
10138,2025-02-25,541,3,14,3,12,474,337,5688,1644,East,INDIA,2025,2025,Tablet,137.0,Tuesday,February
10139,2025-02-15,807,6,12,1,6,489,230,2934,1554,North,USA,2025,2025,Printer,259.0,Saturday,February
10140,2025-04-03,1,6,18,1,4,489,251,1956,952,North,USA,2025,2025,Printer,238.0,Thursday,April
10141,2024-04-30,840,4,15,1,11,1270,1172,13970,1078,North,USA,2024,2024,Monitor,98.0,Tuesday,April
10142,2023-10-24,170,3,16,3,8,474,379,3792,760,East,INDIA,2023,2023,Tablet,95.0,Tuesday,October
10143,2025-02-14,545,3,11,4,12,474,271,5688,2436,West,GERMANY,2025,2025,Tablet,203.0,Friday,February
10144,2025-02-13,470,4,17,4,8,1270,1115,10160,1240,West,GERMANY,2025,2025,Monitor,155.0,Thursday,February
10145,2025-01-10,193,2,9,3,3,787,544,2361,729,East,INDIA,2025,2025,Smartphone,243.0,Friday,January
10146,2023-05-16,493,5,9,4,9,943,820,8487,1107,West,GERMANY,2023,2023,Headphones,123.0,Tuesday,May
10147,2024-01-12,994,5,16,2,7,943,690,6601,1771,South,GERMANY,2024,2024,Headphones,253.0,Friday,January
10148,2023-10-12,815,1,18,2,15,1318,1100,19770,3270,South,GERMANY,2023,2023,Laptop,218.0,Thursday,October
10149,2024-12-29,60,2,4,2,11,787,557,8657,2530,South,GERMANY,2024,2024,Smartphone,230.0,Sunday,December
10150,2025-03-16,714,1,10,2,7,1318,1031,9226,2009,South,GERMANY,2025,2025,Laptop,287.0,Sunday,March
10151,2025-03-15,296,2,6,2,8,787,705,6296,656,South,GERMANY,2025,2025,Smartphone,82.0,Saturday,March
10152,2023-12-23,866,3,14,3,11,474,340,5214,1474,East,INDIA,2023,2023,Tablet,134.0,Saturday,December
10153,2023-09-12,415,1,2,3,6,1318,1238,7908,480,East,INDIA,2023,2023,Laptop,80.0,Tuesday,September
10154,2024-07-01,328,2,14,3,15,787,619,11805,2520,East,INDIA,2024,2024,Smartphone,168.0,Monday,July
10155,2024-08-12,362,2,16,3,10,787,693,7870,940,East,INDIA,2024,2024,Smartphone,94.0,Monday,August
10156,2023-05-07,228,6,3,3,8,489,348,3912,1128,East,INDIA,2023,2023,Printer,141.0,Sunday,May
10157,2024-05-22,282,4,18,1,15,1270,1170,19050,1500,North,USA,2024,2024,Monitor,100.0,Wednesday,May
10158,2024-11-07,200,6,8,2,8,489,389,3912,800,South,GERMANY,2024,2024,Printer,100.0,Thursday,November
10159,2024-06-20,751,5,1,1,13,943,761,12259,2366,North,USA,2024,2024,Headphones,182.0,Thursday,June
10160,2023-06-30,232,2,16,3,13,787,696,10231,1183,East,INDIA,2023,2023,Smartphone,91.0,Friday,June
10161,2024-09-11,744,2,18,1,2,787,531,1574,512,North,USA,2024,2024,Smartphone,256.0,Wednesday,September
10162,2025-03-29,19,5,17,1,1,943,699,943,244,North,USA,2025,2025,Headphones,244.0,Saturday,March
10163,2025-02-11,282,2,3,4,6,787,536,4722,1506,West,GERMANY,2025,2025,Smartphone,251.0,Tuesday,February
10164,2024-03-26,958,5,5,2,6,943,648,5658,1770,South,GERMANY,2024,2024,Headphones,295.0,Tuesday,March
10165,2023-08-30,495,4,17,1,9,1270,1073,11430,1773,North,USA,2023,2023,Monitor,197.0,Wednesday,August
10166,2024-07-29,38,5,20,1,6,943,719,5658,1344,North,USA,2024,2024,Headphones,224.0,Monday,July
10167,2023-10-11,593,5,6,2,4,943,700,3772,972,South,GERMANY,2023,2023,Headphones,243.0,Wednesday,October
10168,2023-06-24,249,5,2,4,11,943,832,10373,1221,West,GERMANY,2023,2023,Headphones,111.0,Saturday,June
10169,2025-05-01,707,5,11,3,13,943,648,12259,3835,East,INDIA,2025,2025,Headphones,295.0,Thursday,May
10170,2024-07-27,909,2,15,1,12,787,713,9444,888,North,USA,2024,2024,Smartphone,74.0,Saturday,July
10171,2025-01-19,833,3,13,4,10,474,303,4740,1710,West,GERMANY,2025,2025,Tablet,171.0,Sunday,January
10172,2024-09-22,600,1,9,1,4,1318,1267,5272,204,North,USA,2024,2024,Laptop,51.0,Sunday,September
10173,2024-02-24,68,2,8,4,3,787,629,2361,474,West,GERMANY,2024,2024,Smartphone,158.0,Saturday,February
10174,2023-08-01,171,2,14,4,15,787,593,11805,2910,West,GERMANY,2023,2023,Smartphone,194.0,Tuesday,August
10175,2024-02-04,751,4,18,3,14,1270,1171,17780,1386,East,INDIA,2024,2024,Monitor,99.0,Sunday,February
10176,2025-03-10,541,6,5,1,8,489,336,3912,1224,North,USA,2025,2025,Printer,153.0,Monday,March
10177,2023-06-19,251,4,16,2,9,1270,1024,11430,2214,South,GERMANY,2023,2023,Monitor,246.0,Monday,June
10178,2024-05-13,483,3,1,2,15,474,178,7110,4440,South,GERMANY,2024,2024,Tablet,296.0,Monday,May
10179,2023-08-01,186,4,3,2,2,1270,1195,2540,150,South,GERMANY,2023,2023,Monitor,75.0,Tuesday,August
10180,2025-03-03,811,2,11,3,8,787,595,6296,1536,East,INDIA,2025,2025,Smartphone,192.0,Monday,March
10181,2025-02-19,133,5,4,2,12,943,704,11316,2868,South,GERMANY,2025,2025,Headphones,239.0,Wednesday,February
10182,2023-06-15,250,4,6,4,10,1270,1016,12700,2540,West,GERMANY,2023,2023,Monitor,254.0,Thursday,June
10183,2024-04-06,746,5,12,4,13,943,739,12259,2652,West,GERMANY,2024,2024,Headphones,204.0,Saturday,April
10184,2024-03-11,898,5,15,2,3,943,707,2829,708,South,GERMANY,2024,2024,Headphones,236.0,Monday,March
10185,2023-08-09,278,3,18,4,12,474,217,5688,3084,West,GERMANY,2023,2023,Tablet,257.0,Wednesday,August
10186,2024-03-10,617,2,12,2,10,787,609,7870,1780,South,GERMANY,2024,2024,Smartphone,178.0,Sunday,March
10187,2024-08-18,125,1,3,1,15,1318,1025,19770,4395,North,USA,2024,2024,Laptop,293.0,Sunday,August
10188,2023-06-18,91,4,17,3,8,1270,1087,10160,1464,East,INDIA,2023,2023,Monitor,183.0,Sunday,June
10189,2023-10-25,692,3,12,3,2,474,423,948,102,East,INDIA,2023,2023,Tablet,51.0,Wednesday,October
10190,2024-04-07,346,1,13,1,13,1318,1061,17134,3341,North,USA,2024,2024,Laptop,257.0,Sunday,April
10191,2025-02-23,727,1,8,1,1,1318,1114,1318,204,North,USA,2025,2025,Laptop,204.0,Sunday,February
10192,2025-03-12,851,4,6,4,9,1270,1135,11430,1215,West,GERMANY,2025,2025,Monitor,135.0,Wednesday,March
10193,2024-04-28,566,5,9,1,3,943,884,2829,177,North,USA,2024,2024,Headphones,59.0,Sunday,April
10194,2023-06-20,369,4,10,3,5,1270,986,6350,1420,East,INDIA,2023,2023,Monitor,284.0,Tuesday,June
10195,2024-01-19,802,5,1,1,9,943,758,8487,1665,North,USA,2024,2024,Headphones,185.0,Friday,January
10196,2024-07-27,185,5,1,3,4,943,846,3772,388,East,INDIA,2024,2024,Headphones,97.0,Saturday,July
10197,2023-06-21,80,4,19,2,7,1270,1177,8890,651,South,GERMANY,2023,2023,Monitor,93.0,Wednesday,June
10198,2023-12-02,743,4,1,3,9,1270,1158,11430,1008,East,INDIA,2023,2023,Monitor,112.0,Saturday,December
10199,2023-08-06,262,5,8,4,9,943,887,8487,504,West,GERMANY,2023,2023,Headphones,56.0,Sunday,August
10200,2023-08-07,367,3,17,1,6,474,223,2844,1506,North,USA,2023,2023,Tablet,251.0,Monday,August
10201,2024-04-28,824,2,13,1,4,787,532,3148,1020,North,USA,2024,2024,Smartphone,255.0,Sunday,April
10202,2024-09-28,650,3,11,4,13,474,380,6162,1222,West,GERMANY,2024,2024,Tablet,94.0,Saturday,September
10203,2025-02-17,566,5,15,4,8,943,797,7544,1168,West,GERMANY,2025,2025,Headphones,146.0,Monday,February
10204,2024-07-25,12,2,8,1,15,787,618,11805,2535,North,USA,2024,2024,Smartphone,169.0,Thursday,July
10205,2024-09-14,584,5,10,3,2,943,792,1886,302,East,INDIA,2024,2024,Headphones,151.0,Saturday,September
10206,2025-02-28,300,4,9,2,3,1270,1146,3810,372,South,GERMANY,2025,2025,Monitor,124.0,Friday,February
10207,2024-10-16,50,2,1,2,6,787,494,4722,1758,South,GERMANY,2024,2024,Smartphone,293.0,Wednesday,October
10208,2024-05-05,100,5,4,4,4,943,863,3772,320,West,GERMANY,2024,2024,Headphones,80.0,Sunday,May
10209,2024-04-15,269,2,7,4,15,787,550,11805,3555,West,GERMANY,2024,2024,Smartphone,237.0,Monday,April
10210,2024-08-21,13,6,1,1,5,489,244,2445,1225,North,USA,2024,2024,Printer,245.0,Wednesday,August
10211,2024-04-05,777,5,1,2,12,943,838,11316,1260,South,GERMANY,2024,2024,Headphones,105.0,Friday,April
10212,2024-10-12,446,3,16,1,9,474,174,4266,2700,North,USA,2024,2024,Tablet,300.0,Saturday,October
10213,2023-10-11,651,6,10,1,4,489,255,1956,936,North,USA,2023,2023,Printer,234.0,Wednesday,October
10214,2023-07-26,405,2,14,1,13,787,708,10231,1027,North,USA,2023,2023,Smartphone,79.0,Wednesday,July
10215,2024-08-10,944,6,4,1,3,489,294,1467,585,North,USA,2024,2024,Printer,195.0,Saturday,August
10216,2024-07-26,724,3,5,2,2,474,275,948,398,South,GERMANY,2024,2024,Tablet,199.0,Friday,July
10217,2023-12-14,52,5,19,4,9,943,790,8487,1377,West,GERMANY,2023,2023,Headphones,153.0,Thursday,December
10218,2024-03-22,684,5,5,2,3,943,731,2829,636,South,GERMANY,2024,2024,Headphones,212.0,Friday,March
10219,2024-04-15,869,6,19,1,5,489,296,2445,965,North,USA,2024,2024,Printer,193.0,Monday,April
10220,2023-06-01,893,4,17,1,2,1270,1029,2540,482,North,USA,2023,2023,Monitor,241.0,Thursday,June
10221,2024-07-20,881,5,4,4,15,943,653,14145,4350,West,GERMANY,2024,2024,Headphones,290.0,Saturday,July
10222,2025-04-28,706,5,20,2,6,943,873,5658,420,South,GERMANY,2025,2025,Headphones,70.0,Monday,April
10223,2024-09-01,151,6,2,2,4,489,266,1956,892,South,GERMANY,2024,2024,Printer,223.0,Sunday,September
10224,2024-03-02,729,4,6,3,5,1270,1103,6350,835,East,INDIA,2024,2024,Monitor,167.0,Saturday,March
10225,2024-10-10,494,5,8,4,11,943,732,10373,2321,West,GERMANY,2024,2024,Headphones,211.0,Thursday,October
10226,2023-06-13,539,4,18,2,15,1270,1160,19050,1650,South,GERMANY,2023,2023,Monitor,110.0,Tuesday,June
10227,2024-07-06,153,4,15,4,5,1270,992,6350,1390,West,GERMANY,2024,2024,Monitor,278.0,Saturday,July
10228,2024-04-29,481,4,9,2,7,1270,1092,8890,1246,South,GERMANY,2024,2024,Monitor,178.0,Monday,April
10229,2023-12-03,612,5,19,3,1,943,852,943,91,East,INDIA,2023,2023,Headphones,91.0,Sunday,December
10230,2024-08-27,946,5,7,1,3,943,763,2829,540,North,USA,2024,2024,Headphones,180.0,Tuesday,August
10231,2024-03-28,789,6,10,3,4,489,316,1956,692,East,INDIA,2024,2024,Printer,173.0,Thursday,March
10232,2025-02-07,396,4,12,4,1,1270,1092,1270,178,West,GERMANY,2025,2025,Monitor,178.0,Friday,February
10233,2023-06-29,31,6,16,1,7,489,202,3423,2009,North,USA,2023,2023,Printer,287.0,Thursday,June
